year,sex,marital_status,age,outside_labour_force
1993,female,widowed_divorced,15-19,-
1993,female,widowed_divorced,20-24,100
1993,female,widowed_divorced,25-29,300
1993,female,widowed_divorced,30-34,500
1993,female,widowed_divorced,35-39,700
1993,female,widowed_divorced,40-44,1600
1993,female,widowed_divorced,45-49,2800
1993,female,widowed_divorced,50-54,6600
1993,female,widowed_divorced,55-59,10100
1993,female,widowed_divorced,60-64,14500
1993,female,widowed_divorced,65-69,16500
1993,female,widowed_divorced,70_and_over,41000
1994,male,single,15-19,87000
1994,male,single,20-24,27200
1994,male,single,25-29,4700
1994,male,single,30-34,2000
1994,male,single,35-39,1300
1994,male,single,40-44,900
1994,male,single,45-49,500
1994,male,single,50-54,700
1994,male,single,55-59,800
1994,male,single,60-64,1100
1994,male,single,65-69,700
1994,male,single,70_and_over,1400
1994,male,married,15-19,-
1994,male,married,20-24,-
1994,male,married,25-29,400
1994,male,married,30-34,400
1994,male,married,35-39,400
1994,male,married,40-44,700
1994,male,married,45-49,2100
1994,male,married,50-54,4800
1994,male,married,55-59,12900
1994,male,married,60-64,21500
1994,male,married,65-69,18800
1994,male,married,70_and_over,29300
1994,male,widowed_divorced,15-19,-
1994,male,widowed_divorced,20-24,-
1994,male,widowed_divorced,25-29,-
1994,male,widowed_divorced,30-34,100
1994,male,widowed_divorced,35-39,100
1994,male,widowed_divorced,40-44,100
1994,male,widowed_divorced,45-49,200
1994,male,widowed_divorced,50-54,600
1994,male,widowed_divorced,55-59,1000
1994,male,widowed_divorced,60-64,1800
1994,male,widowed_divorced,65-69,2800
1994,male,widowed_divorced,70_and_over,9300
1994,female,single,15-19,80100
1994,female,single,20-24,22500
1994,female,single,25-29,2700
1994,female,single,30-34,2100
1994,female,single,35-39,1800
1994,female,single,40-44,1900
1994,female,single,45-49,1300
1994,female,single,50-54,1300
1994,female,single,55-59,1000
1994,female,single,60-64,1000
1994,female,single,65-69,1000
1994,female,single,70_and_over,1600
1994,female,married,15-19,400
1994,female,married,20-24,7300
1994,female,married,25-29,27400
1994,female,married,30-34,53100
1994,female,married,35-39,59800
1994,female,married,40-44,53300
1994,female,married,45-49,43100
1994,female,married,50-54,37000
1994,female,married,55-59,33700
1994,female,married,60-64,26000
1994,female,married,65-69,16100
1994,female,married,70_and_over,14600
1994,female,widowed_divorced,15-19,-
1994,female,widowed_divorced,20-24,100
